payment_id,customer_id,amount,payment_method,failure_reason,retry_attempts,prior_failures,hours_since_failure,customer_txn_frequency_90d,event_timestamp,true_recovery_probability,recovered
P100000,C54,949.58,NETBANKING,REPEATED_DECLINE,3,0,29.1,22,2026-03-10T12:00:00,0.1347,1
P100001,C504,7842.69,WALLET,NETWORK_FAILURE,1,2,1.8,26,2026-01-06T17:00:00,0.8003,1
P100002,C99,1409.48,EMI,EXPIRED_PAYMENT_METHOD,3,1,9.1,15,2026-01-04T22:00:00,0.373,0
P100003,C553,1906.35,CARD,INSUFFICIENT_FUNDS,2,1,6.9,20,2026-02-12T19:00:00,0.354,0
P100004,C564,5417.93,NETBANKING,REPEATED_DECLINE,1,1,6.4,19,2026-01-13T13:00:00,0.2543,1
P100005,C478,5969.49,UPI,REPEATED_DECLINE,3,1,7.2,8,2026-01-11T07:00:00,0.0707,0
P100006,C513,2062.4,UPI,NETWORK_FAILURE,2,1,0.9,11,2026-02-09T07:00:00,0.8886,1
P100007,C595,856.95,CARD,INSUFFICIENT_FUNDS,3,0,16.4,4,2026-02-20T03:00:00,0.3227,0
P100008,C246,4926.84,CARD,BANK_TECHNICAL_FAILURE,1,0,34.3,21,2026-02-11T13:00:00,0.8824,1
P100009,C562,4871.63,CARD,INSUFFICIENT_FUNDS,0,1,6.1,28,2026-01-08T21:00:00,0.3742,0
P100010,C220,1101.0,CARD,UNKNOWN,3,2,7.6,3,2026-01-09T16:00:00,0.1929,0
P100011,C422,4807.18,UPI,BANK_TECHNICAL_FAILURE,0,3,3.4,5,2026-02-22T13:00:00,0.7709,1
P100012,C454,3797.11,UPI,INSUFFICIENT_FUNDS,1,0,0.9,6,2026-02-22T21:00:00,0.3188,0
P100013,C593,655.66,UPI,BANK_TECHNICAL_FAILURE,2,3,19.7,20,2026-02-14T03:00:00,0.8632,1
P100014,C325,4001.73,CARD,CUSTOMER_ABANDONMENT,1,1,31.8,1,2026-03-22T15:00:00,0.2373,0
P100015,C190,1745.96,CARD,NETWORK_FAILURE,0,2,26.9,29,2026-01-21T17:00:00,0.7828,1
P100016,C328,1207.7,NETBANKING,INSUFFICIENT_FUNDS,1,1,42.7,27,2026-01-24T00:00:00,0.2976,1
P100017,C320,774.2,EMI,EXPIRED_PAYMENT_METHOD,0,4,45.1,10,2026-03-01T13:00:00,0.3585,1
P100018,C442,3646.63,WALLET,INSUFFICIENT_FUNDS,2,0,21.0,26,2026-01-14T19:00:00,0.3093,0
P100019,C432,13987.51,CARD,REPEATED_DECLINE,3,2,0.2,6,2026-01-21T16:00:00,0.1272,0
P100020,C581,2825.41,UPI,NETWORK_FAILURE,0,0,34.7,1,2026-03-06T09:00:00,0.6939,1
P100021,C260,5101.89,CARD,INSUFFICIENT_FUNDS,0,3,28.0,15,2026-01-03T05:00:00,0.4594,0
P100022,C504,3292.95,CARD,UNKNOWN,0,3,86.1,25,2026-01-02T14:00:00,0.3865,0
P100023,C151,280.9,UPI,NETWORK_FAILURE,3,2,10.0,27,2026-02-08T07:00:00,0.7625,0
P100024,C165,31013.31,CARD,REPEATED_DECLINE,1,1,1.2,14,2026-02-23T11:00:00,0.3273,0
P100025,C191,2276.04,WALLET,BANK_TECHNICAL_FAILURE,1,0,4.0,14,2026-01-11T09:00:00,0.8009,1
P100026,C117,1618.31,UPI,REPEATED_DECLINE,0,1,3.6,22,2026-03-20T18:00:00,0.2723,1
P100027,C296,65873.55,CARD,NETWORK_FAILURE,0,1,7.2,27,2026-02-17T03:00:00,0.791,0
P100028,C64,5055.12,CARD,EXPIRED_PAYMENT_METHOD,0,5,3.9,24,2026-02-18T05:00:00,0.4622,0
P100029,C500,2297.24,UPI,INSUFFICIENT_FUNDS,1,0,8.4,5,2026-02-07T12:00:00,0.5082,1
P100030,C303,2076.88,CARD,REPEATED_DECLINE,1,0,23.3,20,2026-03-24T11:00:00,0.4586,1
P100031,C276,20299.02,UPI,REPEATED_DECLINE,2,2,26.1,2,2026-01-19T05:00:00,0.2126,0
P100032,C551,10811.57,CARD,REPEATED_DECLINE,0,0,31.0,21,2026-01-13T08:00:00,0.2562,0
P100033,C244,6010.64,UPI,UNKNOWN,2,0,54.8,2,2026-01-09T13:00:00,0.315,0
P100034,C5,239.75,UPI,REPEATED_DECLINE,2,2,13.4,25,2026-01-11T18:00:00,0.1235,1
P100035,C293,7564.66,UPI,NETWORK_FAILURE,2,1,52.2,19,2026-01-25T08:00:00,0.7509,1
P100036,C188,4544.77,WALLET,CUSTOMER_ABANDONMENT,0,1,26.9,28,2026-03-26T06:00:00,0.2962,0
P100037,C84,12859.74,UPI,UNKNOWN,1,0,21.7,26,2026-02-27T08:00:00,0.2597,0
P100038,C20,3356.55,UPI,EXPIRED_PAYMENT_METHOD,2,0,56.3,10,2026-02-09T19:00:00,0.4252,0
P100039,C443,630.15,EMI,EXPIRED_PAYMENT_METHOD,3,0,28.4,2,2026-01-10T13:00:00,0.2711,1
P100040,C408,5340.48,CARD,BANK_TECHNICAL_FAILURE,3,1,77.7,9,2026-03-01T01:00:00,0.6187,1
P100041,C94,332.83,NETBANKING,INSUFFICIENT_FUNDS,0,1,31.2,29,2026-03-25T12:00:00,0.3958,0
P100042,C492,2762.66,CARD,CUSTOMER_ABANDONMENT,3,3,22.0,2,2026-01-18T08:00:00,0.1214,0
P100043,C314,651.71,CARD,NETWORK_FAILURE,3,0,85.5,14,2026-03-05T20:00:00,0.7843,1
P100044,C462,918.99,UPI,REPEATED_DECLINE,0,2,64.7,16,2026-01-28T02:00:00,0.1919,0
P100045,C155,10158.35,CARD,CUSTOMER_ABANDONMENT,2,1,1.2,29,2026-01-13T01:00:00,0.3328,1
P100046,C369,4300.03,UPI,CUSTOMER_ABANDONMENT,1,1,19.4,18,2026-01-29T12:00:00,0.3133,0
P100047,C286,10062.72,UPI,NETWORK_FAILURE,1,2,1.7,8,2026-03-12T20:00:00,0.8151,1
P100048,C318,51919.05,UPI,REPEATED_DECLINE,2,3,82.9,8,2026-01-29T07:00:00,0.02,0
P100049,C25,6199.0,NETBANKING,BANK_TECHNICAL_FAILURE,0,0,18.3,15,2026-01-16T13:00:00,0.9248,1
P100050,C541,333.65,NETBANKING,INSUFFICIENT_FUNDS,0,0,45.4,20,2026-01-11T18:00:00,0.1628,0
P100051,C46,4809.62,CARD,REPEATED_DECLINE,3,1,35.3,10,2026-01-01T23:00:00,0.2033,0
P100052,C280,1397.99,NETBANKING,UNKNOWN,0,3,11.2,25,2026-02-05T07:00:00,0.4064,0
P100053,C25,16667.06,CARD,INSUFFICIENT_FUNDS,1,1,11.4,6,2026-01-27T06:00:00,0.3069,0
P100054,C434,1254.86,CARD,EXPIRED_PAYMENT_METHOD,1,2,11.9,18,2026-01-06T05:00:00,0.3993,0
P100055,C528,4553.0,UPI,REPEATED_DECLINE,1,3,38.9,12,2026-01-31T15:00:00,0.1889,0
P100056,C598,3153.46,CARD,INSUFFICIENT_FUNDS,3,0,1.1,18,2026-03-25T11:00:00,0.4539,1
P100057,C86,2766.18,CARD,REPEATED_DECLINE,2,3,14.1,19,2026-03-23T07:00:00,0.0372,0
P100058,C374,916.58,CARD,REPEATED_DECLINE,3,1,36.9,13,2026-03-29T06:00:00,0.1422,0
P100059,C493,484.47,CARD,REPEATED_DECLINE,2,2,31.0,8,2026-02-07T01:00:00,0.1038,1
P100060,C133,1479.89,WALLET,EXPIRED_PAYMENT_METHOD,2,0,35.3,28,2026-01-05T09:00:00,0.3073,0
P100061,C457,4870.51,NETBANKING,REPEATED_DECLINE,2,1,2.9,3,2026-02-25T23:00:00,0.0347,1
P100062,C571,1507.74,CARD,CUSTOMER_ABANDONMENT,2,2,28.1,16,2026-02-01T07:00:00,0.5039,1
P100063,C426,2118.51,CARD,EXPIRED_PAYMENT_METHOD,2,0,0.3,20,2026-01-31T18:00:00,0.3704,0
P100064,C320,3601.68,CARD,BANK_TECHNICAL_FAILURE,3,3,8.2,15,2026-03-24T09:00:00,0.9478,1
P100065,C62,885.26,CARD,BANK_TECHNICAL_FAILURE,1,1,7.8,14,2026-02-07T20:00:00,0.7646,1
P100066,C302,2045.56,NETBANKING,INSUFFICIENT_FUNDS,2,1,27.2,29,2026-03-08T19:00:00,0.3828,0
P100067,C15,700.28,CARD,BANK_TECHNICAL_FAILURE,1,1,1.9,8,2026-03-13T06:00:00,0.7866,1
P100068,C516,11812.31,UPI,REPEATED_DECLINE,1,2,12.7,10,2026-01-10T04:00:00,0.1433,0
P100069,C467,2274.83,CARD,UNKNOWN,2,0,2.1,2,2026-01-23T03:00:00,0.2129,0
P100070,C159,10140.19,CARD,BANK_TECHNICAL_FAILURE,2,1,33.7,14,2026-01-19T15:00:00,0.9147,1
P100071,C139,2936.54,CARD,EXPIRED_PAYMENT_METHOD,1,0,9.5,8,2026-02-14T01:00:00,0.2949,0
P100072,C331,968.25,CARD,INSUFFICIENT_FUNDS,3,0,46.4,26,2026-03-03T11:00:00,0.5269,1
P100073,C148,850.5,UPI,REPEATED_DECLINE,3,0,1.8,10,2026-01-13T10:00:00,0.1823,1
P100074,C559,7242.41,CARD,NETWORK_FAILURE,0,0,38.2,7,2026-02-23T02:00:00,0.6512,1
P100075,C169,21533.26,CARD,REPEATED_DECLINE,3,1,40.0,17,2026-02-10T21:00:00,0.4039,0
P100076,C48,1082.54,CARD,REPEATED_DECLINE,1,1,10.0,19,2026-01-29T14:00:00,0.351,1
P100077,C441,3268.16,CARD,REPEATED_DECLINE,1,2,59.7,5,2026-02-23T10:00:00,0.181,1
P100078,C402,4613.26,UPI,UNKNOWN,2,0,0.7,17,2026-03-31T09:00:00,0.4615,1
P100079,C344,3129.52,UPI,NETWORK_FAILURE,3,0,1.6,13,2026-02-23T12:00:00,0.8509,1
P100080,C586,2604.63,UPI,INSUFFICIENT_FUNDS,3,1,46.7,6,2026-02-19T19:00:00,0.3176,0
P100081,C320,9996.37,UPI,UNKNOWN,2,1,0.4,2,2026-03-13T15:00:00,0.2902,0
P100082,C563,4198.99,CARD,REPEATED_DECLINE,0,0,28.9,8,2026-01-17T01:00:00,0.365,0
P100083,C590,830.24,UPI,REPEATED_DECLINE,3,2,43.7,19,2026-03-07T19:00:00,0.2517,0
P100084,C267,1962.97,NETBANKING,REPEATED_DECLINE,0,0,13.8,13,2026-03-08T22:00:00,0.2231,0
P100085,C592,20518.05,NETBANKING,INSUFFICIENT_FUNDS,1,1,3.6,12,2026-02-06T19:00:00,0.4275,0
P100086,C303,8098.72,CARD,INSUFFICIENT_FUNDS,1,0,9.4,9,2026-03-03T14:00:00,0.215,0
P100087,C436,610.01,UPI,EXPIRED_PAYMENT_METHOD,0,0,1.3,29,2026-01-17T17:00:00,0.5174,1
P100088,C273,4051.13,UPI,UNKNOWN,1,2,18.6,4,2026-01-27T12:00:00,0.2717,0
P100089,C463,8454.17,EMI,UNKNOWN,3,0,3.5,28,2026-01-28T09:00:00,0.2255,1
P100090,C490,1192.32,UPI,BANK_TECHNICAL_FAILURE,3,0,4.4,4,2026-03-18T16:00:00,0.7059,0
P100091,C444,550.48,CARD,REPEATED_DECLINE,1,1,26.3,12,2026-01-11T20:00:00,0.282,1
P100092,C231,912.45,CARD,CUSTOMER_ABANDONMENT,1,1,15.6,4,2026-03-18T14:00:00,0.3649,0
P100093,C432,376.58,CARD,UNKNOWN,0,3,6.6,12,2026-02-18T06:00:00,0.3714,1
P100094,C216,4881.25,UPI,UNKNOWN,0,0,12.0,28,2026-01-19T16:00:00,0.443,1
P100095,C228,3762.24,CARD,NETWORK_FAILURE,0,1,7.9,20,2026-01-17T20:00:00,0.6456,0
P100096,C490,447.73,CARD,UNKNOWN,2,1,3.1,2,2026-03-13T12:00:00,0.4494,0
P100097,C382,17651.25,WALLET,CUSTOMER_ABANDONMENT,3,1,86.1,26,2026-01-06T14:00:00,0.1639,1
P100098,C261,2652.35,CARD,UNKNOWN,0,1,17.5,9,2026-03-01T09:00:00,0.2167,0
P100099,C368,553.47,CARD,NETWORK_FAILURE,3,1,14.5,9,2026-03-22T07:00:00,0.6658,1
P100100,C104,15171.93,CARD,REPEATED_DECLINE,1,1,3.1,18,2026-02-15T19:00:00,0.3105,0
P100101,C114,1336.47,CARD,CUSTOMER_ABANDONMENT,2,0,16.0,10,2026-03-02T01:00:00,0.21,0
P100102,C183,766.4,CARD,REPEATED_DECLINE,0,1,12.5,5,2026-01-12T15:00:00,0.2081,1
P100103,C169,4332.34,WALLET,INSUFFICIENT_FUNDS,1,3,5.1,9,2026-02-26T07:00:00,0.2936,0
P100104,C312,1719.18,CARD,CUSTOMER_ABANDONMENT,1,2,58.7,25,2026-03-18T20:00:00,0.2536,0
P100105,C423,3334.63,CARD,INSUFFICIENT_FUNDS,1,7,14.5,21,2026-01-22T14:00:00,0.342,1
P100106,C183,4861.97,CARD,INSUFFICIENT_FUNDS,1,2,0.3,2,2026-01-31T06:00:00,0.3664,0
P100107,C141,2400.48,CARD,INSUFFICIENT_FUNDS,0,1,8.7,1,2026-02-08T01:00:00,0.6047,0
P100108,C174,3897.64,CARD,REPEATED_DECLINE,3,0,53.0,7,2026-03-01T17:00:00,0.0482,0
P100109,C345,2198.72,UPI,CUSTOMER_ABANDONMENT,0,4,0.9,20,2026-03-07T12:00:00,0.3979,1
P100110,C178,5857.68,CARD,NETWORK_FAILURE,1,1,26.2,27,2026-03-15T21:00:00,0.9543,1
P100111,C141,2210.91,UPI,EXPIRED_PAYMENT_METHOD,2,0,60.8,27,2026-01-09T15:00:00,0.4611,0
